source,destination,distance_km,days,transport,hotel_type,people,season,trip_type,group_type,travel_cost,hotel_cost,food_cost,total_cost,budget_category
Goa,Kochi,1321,7,flight,5-star,5,peak,short,solo,15870,117635,47423,271034,high
Bangalore,Mumbai,200,7,train,5-star,5,off,short,couple,996,95361,38320,158615,medium
Kochi,Goa,1919,1,bus,5-star,2,off,short,solo,2851,5483,2110,10049,high
Jaipur,Goa,242,1,flight,2-star,5,off,short,couple,2378,2476,1558,9604,low
Mumbai,Goa,1440,5,bus,2-star,3,normal,long,solo,3479,7283,5177,15346,low
Kochi,Chennai,1565,1,flight,3-star,3,normal,medium,solo,10319,3805,1624,23612,high
Pune,Kolkata,903,1,train,4-star,2,normal,long,solo,1979,3434,1741,8422,medium
Kochi,Chennai,1294,7,bus,2-star,3,peak,long,solo,3342,11801,8100,22391,low
Delhi,Chennai,1878,7,train,2-star,2,off,long,couple,3798,4755,4486,15342,low
Kochi,Bangalore,1681,3,bus,4-star,5,normal,short,family,6725,20690,12838,38777,medium
Pune,Kochi,1076,7,bus,2-star,3,off,short,solo,2331,9632,6621,17901,low
Mumbai,Bangalore,522,4,flight,2-star,2,off,long,family,2055,2434,2545,10535,low
Delhi,Jaipur,1729,7,train,2-star,2,normal,long,couple,3894,5299,5056,16759,low
Delhi,Kolkata,793,4,flight,5-star,3,normal,long,family,5080,35918,14527,83186,high
Hyderabad,Chennai,456,6,bus,2-star,5,peak,short,solo,2014,14711,11513,27203,low
Kolkata,Pune,916,2,flight,4-star,2,normal,short,couple,4000,3469,3443,16347,medium
Delhi,Kolkata,868,2,flight,5-star,5,peak,medium,couple,10559,19594,13378,65206,high
Delhi,Mumbai,884,3,flight,2-star,4,off,long,couple,7033,3279,3815,21151,low
Chennai,Delhi,920,2,flight,4-star,2,normal,short,family,3997,3470,3438,16339,medium
Jaipur,Mumbai,263,3,bus,2-star,3,off,long,couple,573,3238,2839,6403,low
Hyderabad,Goa,1983,7,bus,3-star,1,peak,short,family,1778,13082,4269,18423,medium
Kochi,Mumbai,1237,4,train,5-star,3,off,long,family,3662,32294,13173,57817,medium
Kochi,Hyderabad,343,5,bus,3-star,4,normal,short,couple,1111,16195,11215,27438,low
Pune,Delhi,1531,6,flight,3-star,5,off,short,couple,15161,27276,14780,85689,medium
Chennai,Goa,1131,3,flight,5-star,3,peak,short,solo,8250,26348,11897,69648,high
Bangalore,Jaipur,1765,4,bus,2-star,3,peak,medium,family,4701,5867,4765,14758,low
Bangalore,Hyderabad,756,4,bus,2-star,1,off,short,solo,536,2385,1281,4048,low
Jaipur,Chennai,1698,5,flight,2-star,2,normal,short,family,7559,3633,3532,22040,medium
Jaipur,Pune,931,1,bus,5-star,2,normal,medium,family,1489,5919,2402,9451,medium
Mumbai,Goa,845,7,flight,5-star,4,off,medium,solo,6624,65747,30173,153531,high
Mumbai,Goa,942,3,train,4-star,2,off,medium,couple,1842,6269,4618,14983,medium
Hyderabad,Pune,880,3,bus,4-star,4,off,long,family,2512,12444,9213,23283,low
Bangalore,Pune,1202,2,train,3-star,2,peak,medium,couple,2919,2183,2402,8834,medium
Pune,Bangalore,1695,3,bus,4-star,5,normal,medium,couple,6803,20543,12480,38396,medium
Hyderabad,Bangalore,953,5,flight,4-star,4,normal,medium,family,8296,27910,17079,79830,medium
Bangalore,Hyderabad,1217,6,flight,4-star,3,off,short,solo,7388,31905,13736,79384,medium
Chennai,Hyderabad,612,7,flight,2-star,2,peak,long,family,2961,5850,5388,21278,low
Kolkata,Jaipur,627,2,bus,2-star,5,peak,long,solo,2746,2984,3802,9181,low
Mumbai,Bangalore,1824,2,train,5-star,4,peak,short,solo,8896,13503,10542,38744,medium
Pune,Chennai,1046,4,flight,3-star,5,peak,medium,family,12732,20004,12027,67033,medium
Bangalore,Delhi,237,3,train,3-star,5,off,short,solo,1177,10802,7435,22848,low
Bangalore,Jaipur,243,7,bus,3-star,5,normal,medium,couple,960,36013,19393,54270,low
Chennai,Bangalore,1355,3,bus,5-star,4,off,short,solo,3987,21910,13378,37770,medium
Jaipur,Kolkata,1409,1,train,2-star,3,peak,short,solo,5055,2005,1158,9674,medium
Jaipur,Hyderabad,1451,4,train,5-star,4,normal,medium,couple,6594,35563,18958,71967,medium
Hyderabad,Goa,1598,3,train,5-star,1,normal,long,couple,1741,11617,3571,19958,high
Mumbai,Chennai,873,4,train,5-star,2,normal,medium,family,1898,18040,9649,34818,medium
Kolkata,Jaipur,477,3,train,5-star,2,peak,long,solo,1186,13388,7851,26382,medium
Hyderabad,Goa,622,3,bus,4-star,2,off,medium,family,883,6346,4499,11296,low
Jaipur,Bangalore,383,2,flight,2-star,3,peak,short,solo,2856,2015,2293,10721,low
Kolkata,Pune,108,3,train,2-star,1,peak,medium,solo,127,2020,1153,3880,low
Chennai,Kolkata,950,1,bus,3-star,4,peak,medium,solo,3406,4294,2398,9728,medium
Hyderabad,Kochi,1061,7,train,4-star,1,peak,long,couple,1283,23116,6500,36370,high
Hyderabad,Kolkata,446,2,flight,5-star,3,off,short,solo,2673,10627,6466,29625,medium
Mumbai,Delhi,964,5,train,3-star,3,peak,medium,family,3505,17735,9171,35775,medium
Jaipur,Kolkata,1117,6,bus,4-star,4,normal,short,solo,3514,34194,20790,56363,medium
Delhi,Pune,943,7,bus,3-star,2,peak,medium,couple,1667,13051,8667,22516,low
Delhi,Pune,1523,6,bus,3-star,4,peak,medium,family,5370,22389,14534,40701,low
Delhi,Mumbai,1499,1,train,4-star,5,off,medium,solo,7649,9698,3810,24865,medium
Kolkata,Pune,254,4,train,3-star,3,normal,long,family,850,12116,6735,23167,low
Hyderabad,Pune,1444,5,flight,5-star,3,normal,long,family,9392,48493,18285,114039,high
Chennai,Delhi,1526,1,flight,4-star,2,normal,short,solo,6537,3437,1647,17437,high
Bangalore,Jaipur,1345,6,flight,4-star,3,normal,medium,family,8841,35376,15644,89604,medium
Jaipur,Goa,659,5,flight,5-star,2,normal,medium,solo,2902,24586,11751,58745,high
Bangalore,Jaipur,1506,5,flight,3-star,3,normal,short,couple,9685,15986,8297,50905,medium
Kolkata,Chennai,779,6,bus,3-star,1,off,short,solo,560,8720,2966,11810,low
Kochi,Delhi,728,2,train,5-star,1,normal,long,couple,785,6060,2413,10892,high
Delhi,Kolkata,157,2,flight,2-star,2,normal,short,solo,681,893,1377,4424,low
Kochi,Kolkata,1812,5,train,4-star,1,off,long,solo,1792,12780,3768,21576,medium
Goa,Kolkata,1142,1,bus,3-star,2,off,short,solo,1656,1785,978,4256,medium
Pune,Hyderabad,1263,1,train,3-star,4,peak,medium,solo,6103,4331,2399,15111,medium
Delhi,Goa,175,6,flight,5-star,5,off,short,family,1701,83387,32417,175789,high
Kochi,Pune,1205,3,train,4-star,2,normal,medium,family,2623,7022,5091,17344,medium
Mumbai,Jaipur,309,2,bus,2-star,2,normal,medium,solo,492,908,1415,2709,low
Goa,Chennai,287,3,bus,4-star,3,normal,short,family,683,13879,7618,21368,medium
Jaipur,Kochi,1104,3,bus,5-star,4,normal,medium,family,3410,23454,14695,40044,medium
Kochi,Delhi,1642,3,train,5-star,5,normal,short,couple,9253,35865,18155,74453,medium
Kolkata,Hyderabad,405,6,flight,5-star,3,normal,long,solo,2685,62770,21962,130642,high
Goa,Delhi,1774,4,train,5-star,2,off,short,couple,3505,15967,8431,32875,medium
Bangalore,Mumbai,1452,1,flight,2-star,3,peak,long,couple,10573,1957,1130,20463,high
Mumbai,Kochi,1409,6,bus,3-star,3,off,long,couple,3013,17707,9135,28755,low
Mumbai,Delhi,1705,7,flight,5-star,1,peak,short,couple,4180,39595,9445,79697,high
Goa,Kolkata,1981,3,train,5-star,2,peak,long,family,4799,13029,8100,30515,high
Kolkata,Hyderabad,1160,3,train,3-star,2,peak,long,solo,2829,4331,3619,12690,medium
Bangalore,Jaipur,1585,6,bus,2-star,3,peak,long,family,4129,9694,7026,20088,low
Chennai,Kolkata,1966,7,flight,3-star,1,off,short,couple,4004,10573,3494,27078,medium
Hyderabad,Chennai,1011,7,flight,5-star,2,normal,short,solo,4404,35736,16650,85115,high
Jaipur,Pune,1799,1,train,4-star,4,normal,short,family,7813,7005,3357,21402,high
Jaipur,Kochi,1404,5,flight,4-star,2,normal,medium,solo,6202,13989,8469,42933,medium
Jaipur,Pune,1276,2,flight,4-star,3,off,long,solo,7476,6245,4642,27517,medium
Goa,Delhi,955,5,flight,2-star,2,off,medium,couple,3810,3192,3154,15215,low
Goa,Kolkata,902,7,bus,4-star,5,off,medium,solo,3283,55280,26993,82463,medium
Bangalore,Jaipur,762,1,bus,4-star,4,off,short,couple,2172,6353,3024,11121,medium
Kolkata,Delhi,1316,2,bus,5-star,5,normal,short,family,5121,17560,12008,33441,medium
Mumbai,Kochi,1086,3,bus,5-star,3,off,medium,family,2354,21307,9813,32247,medium
Chennai,Jaipur,1547,6,flight,3-star,4,peak,medium,solo,14601,21978,14256,76214,medium
Hyderabad,Bangalore,902,1,bus,2-star,1,normal,long,couple,714,900,345,1887,low
Kolkata,Hyderabad,1583,4,train,2-star,1,off,medium,solo,1558,2466,1249,6205,low
Kolkata,Mumbai,1034,1,bus,5-star,3,off,medium,solo,2261,10616,3265,15552,high
Chennai,Bangalore,995,6,train,5-star,3,normal,short,couple,3354,57775,21341,97252,high
Pune,Mumbai,1201,5,bus,3-star,5,peak,short,family,5330,26319,15209,45120,low
Goa,Chennai,1724,4,bus,3-star,3,normal,short,couple,4100,12015,6584,21861,low
Bangalore,Hyderabad,1286,6,flight,2-star,1,off,long,family,2590,4065,1899,12807,medium
Chennai,Kochi,648,4,flight,5-star,1,off,long,family,1275,16081,4291,32442,high
Hyderabad,Goa,534,6,bus,4-star,4,off,long,family,1547,31301,18439,49395,medium
Hyderabad,Pune,1185,5,bus,2-star,5,off,medium,family,4398,9847,7836,21249,low
Kolkata,Bangalore,624,7,train,3-star,1,off,medium,couple,628,10733,3359,17337,medium
Goa,Chennai,593,1,bus,5-star,1,normal,short,family,467,5831,1193,7225,high
Delhi,Kochi,140,1,train,4-star,2,normal,medium,couple,308,3588,1708,6587,medium
Pune,Hyderabad,1763,5,flight,3-star,5,peak,short,family,21262,26728,14623,93818,medium
Kolkata,Hyderabad,705,1,train,3-star,2,peak,long,couple,1712,2225,1183,6025,medium
Jaipur,Kolkata,558,7,bus,3-star,1,peak,medium,family,499,13267,4208,17305,medium
Chennai,Mumbai,118,6,bus,5-star,2,off,medium,family,171,27919,12995,39504,medium
Hyderabad,Goa,902,6,train,4-star,3,off,medium,family,2688,31282,13594,56012,medium
Chennai,Jaipur,1058,7,train,5-star,2,peak,short,family,2592,39091,18499,70868,high
Bangalore,Kolkata,640,5,flight,4-star,3,peak,long,solo,4613,31021,14095,74467,medium
Jaipur,Hyderabad,1019,1,train,4-star,1,peak,long,family,1252,3820,931,7066,high
Kochi,Bangalore,273,7,train,2-star,1,peak,short,solo,325,5900,2710,10518,low
Chennai,Jaipur,1848,1,train,3-star,3,normal,medium,solo,6167,3944,1671,13864,medium
Goa,Mumbai,1918,5,train,4-star,1,normal,medium,solo,2152,14086,4369,24235,medium
Goa,Chennai,1218,2,flight,3-star,1,off,short,family,2383,1766,963,7666,medium
Mumbai,Bangalore,795,6,flight,3-star,2,normal,medium,couple,3576,10098,6594,30343,medium
Kolkata,Chennai,1031,5,flight,4-star,2,normal,short,family,4555,13763,8811,40629,medium
Kolkata,Jaipur,1583,4,train,2-star,4,peak,short,solo,7676,5949,6227,23358,low
Goa,Mumbai,1310,5,flight,4-star,3,peak,medium,family,9579,30903,13858,81400,high
Chennai,Kochi,1494,7,train,4-star,1,peak,short,couple,1820,23752,6677,37895,high
Jaipur,Goa,222,1,train,5-star,5,normal,long,couple,1250,17861,5910,29464,high
Chennai,Bangalore,581,3,train,2-star,5,normal,short,couple,3189,5404,5336,16387,low
Chennai,Bangalore,1625,7,bus,5-star,1,normal,long,family,1266,36825,8380,44703,high
Hyderabad,Delhi,1027,6,bus,3-star,2,normal,medium,family,1632,9848,6436,17273,low
Bangalore,Kochi,696,3,train,2-star,3,peak,long,solo,2557,3964,3397,11675,low
Delhi,Jaipur,906,6,train,4-star,3,normal,medium,solo,2931,34823,15683,62883,medium
Kolkata,Pune,1893,4,flight,5-star,1,peak,medium,couple,4563,19353,5260,43752,high
Chennai,Mumbai,1632,6,flight,4-star,5,normal,short,family,17878,50376,25479,140628,medium
Delhi,Kochi,368,2,flight,3-star,5,off,short,solo,3630,5456,5087,21212,medium
Pune,Jaipur,643,7,bus,4-star,2,peak,medium,couple,1150,23006,12872,35676,medium
Delhi,Jaipur,1177,7,bus,2-star,2,off,long,family,1760,4864,4410,10620,low
Goa,Jaipur,1829,6,bus,5-star,3,off,long,couple,3949,54160,19397,74630,medium
Delhi,Hyderabad,980,5,train,4-star,5,off,medium,family,4809,37489,19115,72310,medium
Kochi,Hyderabad,335,3,bus,5-star,5,peak,long,solo,1461,39176,19831,58256,medium
Goa,Jaipur,192,7,flight,5-star,1,off,short,solo,378,33130,7259,61025,high
Kochi,Delhi,806,7,flight,5-star,4,normal,long,solo,7208,73345,32555,169394,high
Mumbai,Goa,1863,4,train,2-star,2,normal,short,solo,4077,2684,2740,11189,low
Jaipur,Chennai,1775,5,train,2-star,1,off,short,family,1736,3186,1616,7697,low
Mumbai,Goa,1018,3,train,2-star,1,off,medium,family,1021,1650,955,4263,low
Kochi,Hyderabad,1941,1,flight,3-star,4,normal,medium,family,16791,3968,2216,34445,high
Jaipur,Hyderabad,535,6,train,2-star,4,peak,long,solo,2541,10005,9206,25600,low
Bangalore,Pune,250,2,flight,5-star,4,normal,short,family,2187,12127,9663,35900,medium
Mumbai,Kolkata,561,3,train,2-star,5,normal,medium,solo,3068,5493,5164,16154,low
Pune,Kochi,1703,4,flight,2-star,4,off,long,family,13612,4903,5016,35235,medium
Chennai,Kolkata,1933,3,train,3-star,1,normal,long,family,2136,3924,1672,9103,medium
Goa,Kochi,1195,2,bus,4-star,4,peak,long,family,4194,7639,7597,18708,medium
Goa,Delhi,1564,2,bus,5-star,3,off,short,couple,3342,10571,6328,19518,medium
Pune,Kolkata,845,6,bus,2-star,1,normal,long,couple,682,4413,2155,6983,low
Goa,Bangalore,1403,5,flight,4-star,4,peak,short,couple,13156,31583,18759,95078,medium
Kochi,Bangalore,1489,3,flight,5-star,5,peak,medium,couple,17990,39276,19918,115644,high
Pune,Goa,1305,2,train,2-star,3,peak,medium,solo,4734,2012,2313,10659,low
Kochi,Delhi,206,4,train,5-star,5,peak,short,couple,1249,59076,26377,102074,high
Kochi,Chennai,1416,6,bus,4-star,1,peak,long,solo,1251,18756,5496,24597,medium
Kochi,Mumbai,153,2,flight,4-star,3,normal,long,solo,1021,7017,5085,19656,medium
Jaipur,Pune,1730,1,flight,3-star,2,normal,short,family,7614,2010,1091,16049,high
Chennai,Delhi,725,2,flight,5-star,1,off,medium,couple,1418,5415,2128,13426,high
Kochi,Chennai,1628,4,flight,5-star,5,normal,short,solo,18017,52620,24370,142408,high
Kolkata,Bangalore,234,7,bus,5-star,3,off,short,family,509,65048,23014,85256,medium
Delhi,Goa,183,5,flight,3-star,5,off,short,solo,1856,21928,12033,53650,medium
Chennai,Hyderabad,571,5,flight,2-star,5,normal,long,family,6160,10698,8753,38386,low
Mumbai,Kolkata,1684,4,bus,3-star,5,normal,short,couple,6788,17804,11030,34310,low
Pune,Hyderabad,848,6,train,2-star,1,off,medium,family,830,4012,1850,7882,low
Bangalore,Delhi,1632,5,flight,4-star,4,peak,long,solo,15578,30175,18426,96248,medium
Delhi,Goa,832,4,flight,2-star,3,normal,long,family,5577,5323,4365,22849,low
Mumbai,Pune,698,7,bus,3-star,2,normal,long,family,1125,12033,7600,19993,low
Kochi,Bangalore,1699,1,flight,2-star,2,off,medium,solo,6798,803,631,12324,high
Chennai,Kolkata,1608,3,flight,4-star,1,off,long,solo,3306,6290,2334,17855,high
Goa,Bangalore,1593,1,bus,2-star,3,peak,medium,family,4161,1978,1185,7053,medium
Bangalore,Kolkata,133,4,train,5-star,1,peak,medium,family,159,20338,5336,30358,high
Kolkata,Chennai,1485,5,flight,2-star,1,normal,long,solo,3239,3634,1775,12951,medium
Hyderabad,Jaipur,329,6,train,4-star,3,normal,short,couple,1095,34175,15133,59398,medium
Mumbai,Pune,761,7,train,2-star,5,off,short,solo,3752,14563,11127,34647,low
Bangalore,Kochi,395,5,bus,3-star,4,peak,long,couple,1394,17247,12169,29687,low
Jaipur,Chennai,1131,6,flight,2-star,2,off,long,family,4519,4084,3841,18627,low
Goa,Kochi,1697,7,bus,5-star,3,normal,long,couple,4123,72495,25173,97992,medium
Kolkata,Delhi,892,1,flight,3-star,3,off,long,couple,5166,3623,1489,15405,high
Chennai,Delhi,525,4,bus,2-star,1,peak,long,solo,463,2913,1515,4715,low
Mumbai,Hyderabad,1803,5,flight,2-star,5,peak,long,solo,22160,11872,9723,65501,medium
Delhi,Jaipur,1034,2,train,4-star,1,normal,short,solo,1137,3501,1723,7484,medium
Kolkata,Delhi,757,3,flight,5-star,2,off,long,couple,2974,10815,6435,30300,high
Jaipur,Hyderabad,243,5,bus,2-star,2,off,short,couple,347,3224,3160,6481,low
Pune,Bangalore,1242,5,train,3-star,5,normal,long,solo,6781,24452,13565,52709,medium
Hyderabad,Chennai,1697,5,flight,2-star,1,peak,short,couple,4095,3933,1966,14970,medium
Pune,Mumbai,1297,5,flight,3-star,2,normal,long,family,5723,8123,5377,28793,medium
Mumbai,Goa,814,2,train,4-star,3,normal,medium,couple,2696,7093,5106,17523,medium
Pune,Jaipur,853,5,bus,4-star,2,off,short,couple,1247,12502,7811,20756,medium
Hyderabad,Jaipur,836,6,flight,5-star,2,peak,short,family,4185,32820,15734,79017,high
Hyderabad,Chennai,579,4,bus,2-star,3,peak,long,solo,1561,6080,4583,11763,low
Jaipur,Goa,1229,3,train,2-star,4,normal,medium,family,5373,3584,4115,15395,low
Pune,Hyderabad,1193,5,train,3-star,4,normal,medium,family,5176,15759,10873,37471,low
Chennai,Hyderabad,1604,1,bus,2-star,1,off,long,couple,1154,812,322,2202,medium
Kochi,Jaipur,239,4,bus,3-star,1,peak,short,family,207,6697,2412,8965,medium
Jaipur,Delhi,1801,7,train,2-star,4,off,short,family,7126,9818,8671,30153,low
Kolkata,Kochi,1856,1,flight,2-star,5,peak,short,solo,22586,2977,1939,41182,high
Chennai,Kochi,1348,5,bus,5-star,5,peak,long,family,5956,82116,32684,116122,medium
Kolkata,Bangalore,1441,4,flight,4-star,2,off,medium,family,5660,9361,6069,31610,medium
Kolkata,Chennai,308,5,train,4-star,5,off,long,couple,1510,38474,19532,69967,medium
Bangalore,Chennai,337,4,bus,5-star,1,off,short,solo,240,15997,4350,19836,medium
Goa,Bangalore,813,6,flight,3-star,1,peak,medium,family,1951,11104,3641,24999,medium
Kolkata,Kochi,1596,1,train,3-star,3,off,medium,family,4632,3683,1525,11579,medium
Bangalore,Mumbai,1560,1,flight,3-star,3,normal,short,family,10201,3976,1657,23730,high
Pune,Chennai,101,1,bus,5-star,2,off,long,couple,146,5453,2225,7526,medium
Jaipur,Delhi,216,5,flight,2-star,1,off,medium,solo,426,3201,1542,7748,low
Goa,Kolkata,1164,2,train,5-star,2,peak,short,couple,2785,6596,5422,17414,medium
Jaipur,Mumbai,345,1,bus,5-star,3,peak,medium,family,903,13244,3959,17433,high
Bangalore,Pune,1009,2,flight,3-star,2,normal,short,solo,4518,2075,2182,13130,medium
Kochi,Goa,1868,2,bus,2-star,2,off,long,family,2670,822,1272,4587,low
Mumbai,Chennai,767,1,flight,5-star,1,normal,long,family,1734,6052,1193,13441,high
Bangalore,Chennai,1267,1,flight,5-star,3,off,short,family,7592,10979,3279,32702,high
Hyderabad,Jaipur,320,7,flight,3-star,3,off,long,couple,1915,21945,10577,51532,medium
Pune,Jaipur,1994,4,flight,3-star,4,peak,medium,solo,19702,13328,9655,63891,medium
Goa,Jaipur,606,4,flight,4-star,2,off,long,family,2405,9621,6045,27059,medium
Mumbai,Kolkata,1465,4,bus,5-star,1,peak,medium,solo,1296,19683,5282,25295,high
